datetime,open,high,low,close,volume
2026-01-30 14:43:00,82285.31,82286.18,82220.55,82220.55,27339
2026-01-30 14:44:00,82223.86,82241.67,82219.1,82231.95,15898
2026-01-30 14:45:00,82230.72,82244.13,82225.31,82243.68,22823
2026-01-30 14:46:00,82242.83,82242.83,82210.14,82219.74,20739
2026-01-30 14:47:00,82219.39,82327.13,82219.39,82326.7,25328
2026-01-30 14:48:00,82329.51,82346.83,82315.89,82329.69,15568
2026-01-30 14:49:00,82330.28,82363.78,82323.69,82356.58,24119
2026-01-30 14:50:00,82359.26,82360.99,82332.39,82360.35,22976
2026-01-30 14:51:00,82359.56,82386.03,82351.26,82386.03,16392
2026-01-30 14:52:00,82383.1,82383.1,82349.75,82356.65,13582
2026-01-30 14:53:00,82356.48,82362.51,82345.63,82357.85,12108
2026-01-30 14:54:00,82358.36,82374.79,82356.95,82374.79,16165
2026-01-30 14:55:00,82373.38,82373.99,82342.33,82342.68,25837
2026-01-30 14:56:00,82344.73,82352.07,82330.62,82348.55,18669
2026-01-30 14:57:00,82349.13,82370.65,82345.56,82370.65,21488
2026-01-30 14:58:00,82371.46,82379.17,82360.99,82369.13,13291
2026-01-30 14:59:00,82367.74,82402.74,82355.01,82363.57,33744
2026-01-30 15:00:00,82372.27,82374.62,82243.93,82250.73,99502
2026-01-30 15:01:00,82247.17,82253.43,82167.73,82167.73,46202
2026-01-30 15:02:00,82171.91,82224.82,82167.82,82208.15,67234
2026-01-30 15:03:00,82213.95,82249.76,82199.85,82242.88,43729
2026-01-30 15:04:00,82243.31,82250.71,82216.0,82224.91,25874
2026-01-30 15:05:00,82223.55,82240.33,82212.81,82220.09,24574
2026-01-30 15:06:00,82220.5,82234.8,82212.04,82228.89,20230
2026-01-30 15:07:00,82230.57,82268.52,82230.57,82260.94,38282
2026-01-30 15:08:00,82264.62,82270.48,82239.91,82246.9,65592
2026-01-30 15:09:00,82248.81,82256.72,82237.6,82243.57,55325
2026-01-30 15:10:00,82246.11,82273.52,82245.42,82258.34,94413
2026-01-30 15:11:00,82263.76,82294.38,82261.64,82290.19,64239
2026-01-30 15:12:00,82292.13,82292.39,82273.06,82280.13,23495
2026-01-30 15:13:00,82273.32,82287.44,82267.71,82271.04,51126
2026-01-30 15:14:00,82268.9,82269.32,82248.99,82267.5,48421
2026-01-30 15:15:00,82265.25,82322.66,82241.47,82317.26,73476
2026-01-30 15:16:00,82321.55,82352.05,82316.6,82346.66,71893
2026-01-30 15:17:00,82349.71,82352.31,82297.45,82300.86,47144
2026-01-30 15:18:00,82298.98,82314.86,82292.31,82299.86,35744
2026-01-30 15:19:00,82295.76,82309.97,82268.98,82280.01,56646
2026-01-30 15:20:00,82280.86,82289.18,82263.28,82277.27,68288
2026-01-30 15:21:00,82281.34,82288.91,82252.45,82259.3,31562
2026-01-30 15:22:00,82262.77,82277.1,82255.59,82268.68,80863
2026-01-30 15:23:00,82266.36,82286.44,82258.05,82271.09,96882
